unique_id,ds,y,months_to_wc
CMR,2021-08-01,0.010127289065131,-5
CMR,2021-09-01,-0.0002605080787987,-4
CMR,2021-10-01,0.003716306673736,-3
CMR,2021-11-01,-0.0042867093115292,-2
CMR,2021-12-01,0.0534603530475872,-1
CMR,2022-01-01,0.1585520664676013,0
CMR,2022-02-01,0.1527353013890348,1
CMR,2022-03-01,0.1402326607937195,2
CMR,2022-04-01,0.0905679422686572,3
CMR,2022-05-01,0.0820305067530997,4
CMR,2022-06-01,0.1139948381004775,5
CMR,2022-07-01,0.1025261563152328,6
EGY,2019-02-01,0.0191050779286077,-5
EGY,2019-03-01,-0.0025138260432376,-4
EGY,2019-04-01,-0.0170940170940169,-3
EGY,2019-05-01,-0.0095525389643038,-2
EGY,2019-06-01,0.0231271995977885,-1
EGY,2019-07-01,0.0372046254399195,0
EGY,2019-08-01,0.0497737556561089,1
EGY,2019-09-01,3.6580983480057454e-16,2
EGY,2019-10-01,0.0040221216691808,3
EGY,2019-11-01,0.011060834590247,4
EGY,2019-12-01,-0.0145801910507794,5
EGY,2020-01-01,-0.0025138260432383,6
QAT,2022-06-01,0.0185358567091839,-5
QAT,2022-07-01,-0.0257836405774419,-4
QAT,2022-08-01,0.0802643197321045,-3
QAT,2022-09-01,0.0548176201314829,-2
QAT,2022-10-01,0.0596020235211829,-1
QAT,2022-11-01,0.1266696632029448,0
QAT,2022-12-01,0.0762179711448525,1
QAT,2023-01-01,0.0812056664645463,2
QAT,2023-02-01,0.0762155694152541,3
QAT,2023-03-01,0.1135987481100012,4
QAT,2023-04-01,0.0448215712807947,5
QAT,2023-05-01,0.1193237420994868,6
RSA,2010-01-01,0.0238463709160999,-5
RSA,2010-02-01,0.0316988830892094,-4
RSA,2010-03-01,0.0665544158848105,-3
RSA,2010-04-01,0.0823564688367721,-2
RSA,2010-05-01,0.0668186899958253,-1
RSA,2010-06-01,0.0795921318058577,0
RSA,2010-07-01,0.0650645491117626,1
RSA,2010-08-01,0.0542004130116051,2
RSA,2010-09-01,-0.0083160129267671,3
RSA,2010-10-01,0.0036538786413679,4
RSA,2010-11-01,-0.0005005092209658,5
RSA,2010-12-01,0.0242516280247412,6
RUS,2018-01-01,0.0067726549530417,-5
RUS,2018-02-01,0.0290203837498576,-4
RUS,2018-03-01,0.0490518282608396,-3
RUS,2018-04-01,0.0415841109116179,-2
RUS,2018-05-01,0.0434279535196054,-1
